Name,Nomination Year,President,Country,Confirmed,Doc No.,Total Personal Contributions by Nominee,Bundling Value,Career Background,Graduate Degree(s) & Area(s) of Study,Career FSO,Career Senior FS,State Dept. Experience,Military Experience,Other Foreign Policy Experience (U.S. Gov't),Experience in Organizational Leadership,Language,Knowledge of Principal Language,Knowledge of Other Relevant Languages,Country Experience,Experience in Host,Experience In or Involving Host,Regional Experience,Experience in Region,Experience in or Involving Region
Roderick W. Moore,2007,Bush,Montenegro,Yes,C05728802,0,0,,Yes (M.A. in Linguistics),Yes,Yes,"Watch Officer in Operations Center, Consular Officer in Port-au-Prince",No,No,Yes,,Yes (Serbian/Montenegrin),No,,Yes (Supervisor of Principal Officer in Podgorica),Yes (Supervisor of Principal Officer in Podgorica),,"Yes (Serbia, Bulgaria, Croatia)","Yes (DCM in Belgrade, DCM in Sofia, Chief of Political Section in Zagreb, Desk Officer in Office of South Central European Affairs, Political/Economic Officer in Sofia; taught U.S. policy toward ex-Yugoslavia at Fletcher School)"
William R. Steiger,2007,Bush,Mozambique,No,C05728807,3835,0,,Yes (Ph.D. in Latin American History),No,No,,No,"Director of Office of Global Health Affairs and Special Assistant to Secretary for Int'l Affairs at U.S. Dept. of Health and Human Services; U.S. Member of Executive Board of World Health Org.; Alternative U.S. Member of Board of Directors of Global Fund to Fight HIV/AIDS, Tuberculosis and Malaria; liaison to Office of U.S. Global AIDS Coordinator",Yes,,Yes (Portuguese),No,,No,No,,"Yes (""lived and worked in Africa"")",No
Gail Dennise Mathieu,2007,Bush,Namibia,Yes,C05728811,0,0,,Yes (JD),Yes,Yes,"Director of Office of Technical Specialized Agencies in Bureau of Int'l Org Affairs; U.S. Observer to ECOSOC; Political Officer in Geneva; Consular Officer in Jeddah; Consular Officer in Paris; Consular Officer in Port of Spain; Consular Officer in Santo Domingo; Deputy Director in Office of Australia, New Zealand and Pacific Island Affairs",No,No,Yes,,Yes (English),No,,No,No,,"Yes (Niger, Ghana)",Yes (Ambassador to Niger; DCM in Accra; Deputy Director of Office of West African Affairs)
Nancy J. Powell,2007,Bush,Nepal,Yes,C05728816,0,0,,No,Yes,Yes,"Principal Deputy Assistant Secretary for Bureau of Int'l Narcotics and Law Enforcement Affairs, Principal Deputy Assistant Secretary in Bureau of Legislative Affairs, Ambassador to Ghana, Principal Deputy Assistant Secretary in Bureau of African Affairs, Ambassador to Uganda, DCM in Lome, Rotational Officer in Ottawa",No,No,Yes,,Yes (Nepali),No,,Yes (Consular Officer in Kathmandu),Yes (Consular Officer in Kathmandu),,"Yes (Pakistan, Bangladesh, India)","Yes (National Intelligence Officer for South Asia, Ambassador to Pakistan, DCM in Bangladesh, Political Officer in New Delhi, Principal Officer in Calcutta, Political Officer in Islamabad"
Robin Renee Sanders,2007,Bush,Nigeria,Yes,C05728834,0,0,,Yes (M.S. in Journalism and M.A. in Int'l Relations and African Studies),Yes,Yes,Head of Consular Section in Oporto; Consular Officer in Santo Domingo,No,Faculty Advisor at Industrial College of Armed Forces at Nat'l Defense Univ.; Pearson Fellow for Congresswoman Cynthia McKinney,Yes,,Yes (English),No,,No,No,,"Yes (Congo, Senegal, Sudan, Namibia)","Yes (Ambassador to Republic of Congo; Director for Public Diplomacy for Africa Bureau; Director for Africa at Nat'l Security Council; Special Assistant to Assistant Secretary of State for African Affairs; Special Assistant for Africa, Western Hemisphere, and Int'l Crime and Narcotics for Under Secretary for Political Affairs; Chief of Political Section in Dakar; Political Officer in Khartoum; Chief of Political Section in Windhoek; M.A. in African Studies)"
Anne W. Patterson,2007,Bush,Pakistan,Yes,C05728850,0,0,,Yes (Not Reported),Yes,Yes,"Assistant Secretary of State for Bureau of Int'l Narcotics and Law Enforcement Affairs; Deputy Permanent Representative and Acting Permanent Representative at U.S. Mission to U.N.; Deputy Inspector General; Ambassador to Columbia; Ambassador to El Salvador; Principal Deputy Assistant Secretary and Deputy Assistant Secretary of Inter-American Affairs; Office Director for Andean Affairs; Political Counselor to U.S. Mission to U.N. in Geneva; Economic Officer and Counselor in Saudi Arabia; assignments in Bureau of Inter-American Affairs, Bureau of Intelligence and Research, and Bureau of Economic and Business Affairs",No,No,Yes,,Yes (English),No,,No,No,,No,No
Peter Michael McKinley,2007,Bush,Peru,Yes,C05728869,0,0,,"Yes (M.A. in Int'l Relations, Ph.D. in Latin American Studies)",Yes,Yes,"DCM to U.S. Mission to EU in Brussels; Deputy Assistant Secretary in Bureau of Population, Refugees, and Migration; DCM to bilateral embassy in Brussels; DCM in Kampala; DCM in Maputo; Political Officer handling African Affairs in London; Special Assistant for Africa in Office of Under Secretary for Political Affairs; research analyst in Bureau of Intelligence and Research; desk officer for Angola and Namibia in Office of Southern African Affairs",No,No,Yes,,Yes (Spanish),No,,No,No,,Yes (Bolivia),Yes (Consular and General Services Officer in La Paz; Ph.D. in Latin American Studies)
Thomas Stephenson,2007,Bush,Portugal,Yes,C05728881,217431,132173.37,,"Yes (J.D., MBA)",No,No,,No,No,No,,No,No,,No,No,,No,No
Ford M. Fraker,2007,Bush,Saudi Arabia,Yes,C05728895,0,0,,No,No,No,,No,No,No,,No,No,,Yes (Established the first Islamic Trade Finance Fund and Financing Petro-Chemical Project in Saudi Arabia),"Yes (Established the first Islamic Trade Finance Fund and Financing Petro-Chemical Project in Saudi Arabia; Developed Business in Saudi Arabia while serving as Chemical Bank's Representative in Dubai, and later as Chemical Bank's Regional Vice President and General Manager in Bahrain; Senior Member of Management Team at UK-Based Saudi Int'l Bank)",,"Yes (Lebanon, Bahrain, UAE)","Yes (Assistant Representative for Chemical Bank in Lebanon; Developed business in Bahrain, Qatar, UAE, and Yemen while serving as Chemical Bank's Representative in UAE; Developed business in Kuwait while serving as Regional Vice President and General Manger for Chemical Bank in Bahrain)"
Marcia Stephens Bloom Bernicat,2007,Bush,Guinea-Bissau,Yes,C05728897,0,0,,Yes (M.S.F.S. in Int'l Relations),Yes,Yes,"Country Director of Office of India, Nepal, and Sri Lanka Affairs; Counselor and Director of Division in Senior Level Division of the Office of Career Development and Assignments in Bureau of HR; DCM in Bridgetown, Barbados; Deputy Chief of Political Section in Delhi, India; Two-Year Assignment in Office of India, Nepal, and Sri Lanka Affairs; Special Assistant to Deputy Secretary of State and to Head of Operations Center; Consular Officer in Marseille, France; Political Officer in Casablanca",No,No,Yes,,No,No,,No,No,,"Yes (Mali, Malawi)",Yes (Political and Consular Officer in Bamako; DCM in Lilongwe)
Marcia Stephens Bloom Bernicat,2007,Bush,Senegal,Yes,C05728897,0,0,,Yes (M.S.F.S. in Int'l Relations),Yes,Yes,"Country Director of Office of India, Nepal, and Sri Lanka Affairs; Counselor and Director of Division in Senior Level Division of the Office of Career Development and Assignments in Bureau of HR; DCM in Bridgetown, Barbados; Deputy Chief of Political Section in Delhi, India; Two-Year Assignment in Office of India, Nepal, and Sri Lanka Affairs; Special Assistant to Deputy Secretary of State and to Head of Operations Center; Consular Officer in Marseille, France; Political Officer in Casablanca",No,No,Yes,,Yes (French),No,,No,No,,"Yes (Mali, Malawi)",Yes (Political and Consular Officer in Bamako; DCM in Lilongwe)
Cameron Munter,2007,Bush,Serbia,Yes,C05728902,0,0,,Yes (M.A. and Ph.D. in History),Yes,Yes,"Head of a Provincial Reconstruction Team in Mosul, Iraq; Special Assistant to the Counselor of the State Department; Special Assistant to the Office of NATO Enlargement and Ratification.",No,No,Yes,,No,No,,No,No,,"Yes (Germany, Poland, Czech Republic)","Yes (Political Officer in Bonn, Germany; DCM in Prague, Czech Republic; DCM in Warsaw, Poland; Political Officer in Bonn, Germany; Political Officer in Prague, Czech Republic; Senior Director for European Affairs at Nat'l Security Council)"
June Carter Perry,2007,Bush,Sierra Leone,Yes,C05728908,0,0,,Yes (M.A. in European Studies),Yes,Yes,Director of the Office of Social and Humanitarian Affairs in Bureau of International Organization Affairs; Diplomat-in-Residence at Howard University; Political and Military Affairs Officer in Office of Regional Security and Arms Transfer; Political and Military Affairs Officer in Office in Defense Relations and Security Assistance; Political Officer in Paris; Special Assistant to the Deputy Secretary,No,No,Yes,,Yes (English),No,,No,No,,"Yes (Lesotho, Madagascar, Central African Republic, Zimbabwe, Zambia)",Yes (Chief of Mission to Lesotho; DCM in Antananarivo; DCM in Bangui; Political Officer in Harare; General Services Officer in Lusaka)
Vincent Obsitnik,2007,Bush,Slovakia,Yes,C05728912,88035,0,,Yes (M.B.A.),No,No,,Yes,No,Yes,,Yes (Slovak),No,,No,No,,No,No
Yousif Boutrous Ghafari,2007,Bush,Slovenia,Yes,C05728915,246632,264347.73,,"Yes (M.A. in Applied Mathematics and Computer Applications, M.A. in Chemical Engineering, M.B.A.)",No,No,,No,No,Yes,,No,No,,No,No,,No,No
Vincent Obsitnik,2007,Bush,Slovenia,No,C05728917,88035,0,,Yes (M.B.A.),No,No,,Yes,No,Yes,,No,No,,No,No,,No,No
Maurice S. Parker ,2007,Bush,Swaziland,Yes,C05728935,0,0,,Yes (M.A. in Education),Yes,Yes,"Director of the Assignments Division in the Office of Career Development and Assignments in the Bureau of Human Resources; Principal Officer in Ciudad Juarez; Senior Adviser in the Bureau of Consular Affairs; Principal Officer in Barcelona; Coordination Officer in the Bureau of Intelligence and Research; Consular Officer in Mexico City, Edinburgh, Medellin, Barranquilla, Madrid, and Georgetown",No,Director of Consular and Int'l Programs at the Homeland Security Council,Yes,,Yes (English),No,,No,No,,Yes (Nigeria),Yes (Chief of the Consular Section in Lagos)
Mark Green ,2007,Bush,Tanzania,Yes,C05728949,0,0,,Yes (J.D.),No,No,,No,Member of the U.S. House of Representatives,Yes,,"Yes (Kiswahili, English)",No,,No,No,,No,Yes (published articles on education in Africa)
Eric G. John,2007,Bush,Thailand,Yes,C05728953,0,0,,Yes (M.S. in National Security Studies),Yes,Yes,General Services Officer in Dar-es-Salaam,No,No,Yes,,No,No,,Yes (Visa Officer in Bangkok),Yes (Visa Officer in Bangkok),,"Yes (Vietnam, South Korea)",Yes (Deputy Assistant Secretary in the Bureau of East Asian and Pacific Affairs; Deputy Principal Officer of the Consulate General in Ho Chi Minh City; Political Minister-Counselor in Seoul; Deputy Director of the Office of Korean Affairs; Political Officer and Visa Officer in Seoul; Visa Officer in Pusan)
George Albert Krol,2007,Bush,Turkmenistan,No,C05728974,0,0,,Yes (M.A. in Political Science),Yes,Yes,"Chief of Mission in Minsk, Belarus; DCM in Minsk; Political Officer in Kiev; Desk Officer in the Office of South Central European Affairs; Operations Officer in the Secretariat; Interfunctional Officer in New Delhi; Economic Officer and Consular Officer in Warsaw; Political Officer in St. Petersburg; Acting DCM, Charge d'Affaires, and Minister-Counselor for Political Affairs in Moscow; Director of the Office of Russian Affairs",No,No,Yes,,No,Yes (Russian),,No,No,,No,Yes (Special Assistant to the Ambassador-at-Large for the Newly Independent States)
Richard Boyce Norland,2007,Bush,Uzbekistan,Yes,C05729018,0,0,,Yes (M.A. in Int'l Relations; M.S. Degree in Strategic Studies),Yes,Yes,DCM and Charge d'Affaires in Riga; Charge d'Affaires in Yerevan; Worked with the Organization for Security and Cooperation in Europe in Georgia; Political Officer in the Office of Ocean Affairs; Special Assistant to the Under Secretary for Political Affairs; Political Officer in Dublin and Oslo; General Services Officer in Manama; Worked with the Organization for Security and Cooperation in Europe in Chechnya ,No,Senior Director at the National Security Council,Yes,,No,Yes (Russian),,No,No,,Yes (Afghanistan),Yes (DCM and Charge d'Affaires in Kabul)
Patrick Dennis Duddy,2007,Bush,Venezuela,Yes,C05729020,0,0,,Yes (M.A. in English),Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,"Yes (Brazil, Panama, Paraguay, Costa Rica, Dominican Republic, Bolivia, Chile)","Yes (Deputy Assistant Secretary for the Caribbean Countries in the Bureau of Western Hemisphere Affairs; Principal Officer in Sao Paulo, Brazil; Political Officer in Panama; Public Affairs Officer in Paraguay; Cultural Affairs Officer in Costa Rica; Information Officer in the Dominican Republic; DCM in La Paz, Bolivia; Junior Officer in Chile)"
Cameron Rees Hume,2007,Bush,Indonesia,Yes,C06121724,0,0,,Yes (J.D.),Yes,Yes,Charge d'affaires in Khartoum; Deputy Inspector General and Acting Inspector General; Chief of Mission in South Africa; Senior Advisor to U.S. Mission to U.N.; Chief of Mission to Algeria; Political Counselor at U.S. Mission to U.N.; DCM at the Vatican; Chief of Political Section in Beirut; Director of Linguistics in Tunis; Political Officer in Damascus; Political Officer in Office of Southern African Affairs; Int'l Relations Officer and Special Assistant in Office of Policy Planning Staff,No,No,Yes,,No,Yes (English),,No,No,,No,No
Charles A. Gargano,2007,Bush,Austria,No,C06490177,Not Reported,0,,"Yes (M.B.A., M.A. in Civil Engineering)",No,No,Ambassador to Trinidad & Tobago,No,Yes,Yes,,No,No,,No,No,,No,No
James D. McGee,2007,Bush,Zimbabwe,Yes,C06497009,0,0,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
David D. Pearce,2008,Bush,Algeria,Yes,C05727645,0,0,,Yes (M.A. in Journalism),Yes,Yes,"Chief of the Political Section in Rome, Special Assistant to the Under Secretary of State for Political Affairs, desk officer in the Bureau of European Affairs, watch officer in the Ops Center",No,No,Yes,,Yes (Arabic),Yes (French),,No,No,,"Yes (Iraq, Israel, Syria, Kuwait, Saudi Arabia)","Yes (Special Advisor to Ambassador in Baghdad, Principal Officer in Jerusalem, Director of Northern Gulf Affairs, DCM in Damascus, Principal Officer in Dubai, Political Officer in Kuwait, Rotational and consular Officer in Riyadh)"
Marie L. Yovanovitch,2008,Bush,Armenia,Yes,C05727662,0,0,,No,Yes,Yes,Ambassador to Kyrgyzstan; Political-Military Officer in Ottawa; watch officer in the Ops Center; General services officer in Mogadishu,No,No,Yes,,No,No,,No,No,,"Yes (Ukraine, Russia, UK)",Yes (DCM in Kiev; Deputy Director of the Russia Desk; Political Officer in Moscow; Political-Military officer in the Regional Political-Military Office in the European Bureau; Consular Officer in London)
David F. Girard-diCarlo,2008,Bush,Austria,Yes,C05727667,108650,409363.13,,Yes (J.D.),No,No,,No,No,Yes,,No,No,,No,No,,No,No
Stephen James Nolan,2008,Bush,Botswana,Yes,C05727711,0,0,,Yes (Master's (M.I.M.) in international management),Yes,Yes,Staff Director for the Board of Examiners for the Foreign Service; Office of the Executive Director of the Bureau of Western Hemisphere Affairs; Bureau of Administration; Entry Legal Division of the Bureau of HR; general services officer in Berlin and Jerusalem ,No,No,Yes,,Yes (English),No,,No,No,,"Yes (South Africa, Kenya, Senegal)",Yes (Executive Director for the Bureau of African Affairs; Consul General in Cape Town; Counselor for Administrative Affairs in Nairobi; Officer of the Executive Director of the Bureau of African Affairs; general services officer in Nairobi and Dakar)
William E. Todd,2008,Bush,Brunei,Yes,C05727718,0,0,,No,No,No,"Deputy Inspector General; Deputy Assistant Secretary of State for Civilian Police, Rule of Law, Asia, Africa, and Europe in the Bureau of International Narcotics and Law Enforcement Affairs; Principal Deputy Assistant Secretary as CCO of the Bureau of International Narcotics and Law Enforcement Affairs; Executive Director/Controller for the Bureau of International Narcotics and Law Enforcement Affairs",No,No,Yes,,No,Yes (English),,No,No,,No,No
Nancy E. McEldowney,2008,Bush,Bulgaria,Yes,C05727720,0,0,,Yes (M.A. in Russian and Slavic Area Studies),Yes,Yes,Rotational and consular officer in Cairo,No,No,Yes,,No,No,,No,No,,"Yes (Turkey, Germany, Azerbaijan)",Yes (DCM in Turkey; DCM in Azerbaijan; NSC staff for NATO; political officer in Bonn; political-military officer in the Officer of European Security and Political Affairs; Foreign Affairs Officer on the Soviet desk in the Bureau of European Affairs; M.A. in Russian and Slavic Area Studies)
Carol Ann Rodley,2008,Bush,Cambodia,Yes,C05727739,0,0,,No,Yes,Yes,Counselor for Political-Military Affairs in Kabul; Deputy Assistant Secretary for Analysis and Current Intelligence then Principal Deputy Assistant Secretary and Acting Assistant Secretary in the Bureau of Intelligence and Research; Deputy Executive Secretary of the State Department; Executive Assistant to the Bosnia Coordinator; Deputy Director of the Secretariat Staff; desk officer in the Office of Southern European Affairs; Senior Watch Officer in the Ops Center; Intelligence Analyst in the Russia Division of the Bureau of Intelligence and Research; information systems officer in Bonn and Santo Domingo; general services officer in Pretoria; consular officer in Lahore,No,No,Yes,,Yes (Khmer),No,,Yes (DCM in Phnom Penh),Yes (DCM in Phnom Penh),,No,No
Marianne Matuzic Myles,2008,Bush,Cape Verde,Yes,C05727748,0,0,,"Yes (M.P.A. in Int'l Relations, M.S. in Strategic Studies)",Yes,Yes,"Director of the Office of Recruitment, Examination, and Employment in the Bureau of H.R.; Director of the Diplomatic Readiness Initiative Task Force in the Bureau of H.R.; Director of the Office of Aviation Negotiations in the Bureau of Economics and Business Affairs; DCM in Montevideo; Principal Officer in Naples; Personnel Officer in Brasilia; Economic Officer in Rio de Janeiro; Principal Officer in Porto Alegre ",No,No,Yes,,Yes (Portuguese),No,,No,"Yes (negotiated and implemented Open Skies agreement with Cape Verde and oversaw achievement of FAA ""Category 1"" aviation safety status)",,No,No
"Alan W. Eastham, Jr.",2008,Bush,Republic of Congo,Yes,C05727775,0,0,,Yes (J.D.),Yes,Yes,"Principal Deputy Assistant Secretary for the Bureau of South  Asian Affairs; DCM in Islamabad; Counselor of Embassy for Political Affairs in New Delhi; Principal Officer in Bordeaux; Special Assistant to the Under Secretary for Political Affairs, as Country Officer for India; I.R. officer in the Office for Combatting Terrorism; Chief of the Southern Division in the Office of Public Programs; Principal Officer in Peshawar; Consular Officer in Kathmandu)",No,No,Yes,,Yes (French),No,,No,"Yes (Country Director for Central African Affairs, including both Congos)",,"Yes (DRC, Kenya)",Yes (Country Director for Central African Affairs; Special Negotiator for Conflict Diamonds in the Bureau of Economic and Business Affairs; Counselor for Political Affairs in Kinshasa; Counselor for Political Affairs in Nairobi)
Peter E. Cianchette,2008,Bush,Costa Rica,Yes,C05727782,1334,0,,No,No,No,,No,No,Yes,,No,Yes (English),,No,No,,No,No
"Frank Charles Urbancic, Jr.",2008,Bush,Cyprus,Yes,C05727794,0,0,,Yes (M.A. in Byzantine history; M.S. in strategic studies),Yes,Yes,Associate Coordinator of the Office of the Coordinator for Counterterrorism; DCM in Freetown; consular officer in Quebec; political officer at the U.S. Mission to the U.N. in New York; DCM in Kuwait; DCM in Abu Dhabi; political and economic officer in Doha; political officer in Riyadh; rotational officer in Amman; Egyptian Desk in the Bureau of Near Eastern Affairs,No,No,Yes,,Yes (Turkish),Yes (English),,No,Yes (M.A. in Byzantine history),,Yes (Turkey),Yes (Senior Advisor in the Bureau of European Affairs; Principal Officer in Istanbul; M.A. in Byzantine history)
James Christopher Swan,2008,Bush,Djibouti,Yes,C05727804,0,0,,Yes (M.A. in Int'l Relations),Yes,Yes,Labor and human rights officer in Managua; consular officer in Port-au-Prince,No,No,Yes,,Yes (French),No,,No,No,,"Yes (DRC, Kenya, Cameroon)","Yes (Deputy Assistant Secretary responsible for policy and personnel in the Offices of East African, Central African, and Regional Security Affairs in the Bureau of African Affairs; Director of the Office for African Analysis in the Bureau of Intelligence and Research; DCM in Kinshasa; DCM in Brazzaville; State Department Desk Officer for Zaire; ""Somalia Watcher"" based in Nairobi; Chief of the Political Section in Yaoundé) "
Heather M. Hodges,2008,Bush,Ecuador,Yes,C05727816,0,0,,Yes (M.A. in Spanish),Yes,Yes,Principal Deputy Assistant Secretary in the Bureau of Human Resources; Ambassador to Moldova; DCM in Madrid; Deputy Director of the Office of Cuban Affairs; Principal Officer in Bilbao,No,Pearson Fellow as counsel to the Senate Subcommittee on Immigration and Refugee Affairs,Yes,,Yes (Spanish),No,,No,No,,"Yes (Peru, Nicaragua, Guatemala, Venezuela)",Yes (DCM in Lima; DCM in Managua; Desk Officer for Peru in the Office of Andean Affairs; Deputy Chief of the Consular Section in Guatemala; Chief of the Non-immigrant service Visa Section in Caracas)
Margaret Scobey,2008,Bush,Egypt,Yes,C05727822,0,0,,Yes (M.A. in History),Yes,Yes,Senior Advisor in the Office of the Under Secretary for Public Diplomacy; Political Officer in Peshawar; consular officer in Lima; watch officer in the Ops Center; deputy director of the Secretariat Staff,No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,"Yes (Iraq, Syria, Saudi Arabia, Kuwait, Israel)","Yes (Chief of Political Section in Baghdad; Ambassador to Syria; DCM in Saudi Arabia; Country Director for Saudi Arabia, Kuwait, Bahrain, Qatar, Oman, UAE, and Yemen Affairs in the Bureau of Near Eastern Affairs; DCM in Sana'a; Chief of the Political Section in Kuwait; Political Officer in Jerusalem; staff assistant to the Assistant Secretary for Near Eastern Affairs; political-military officer in the Office of Israel and Arab-Israeli Affairs)."
C. Steven McGann,2008,Bush,Fiji,Yes,C05727851,0,0,,Yes (M.A. in political science),Yes,Yes,"Deputy Director of the Office of Pakistan, Afghanistan, and Bangladesh Affairs; political officer and economic officer at the US Mission to the UN in New York; Labor Officer in Nairobi; Staff Aide in Pretoria; economic and political officer in Kinshasa; consular officer at the American Institute in Taipei; special assistant in the Office of Policy Planning, in the Office of the Under Secretary of State of Political Affairs, in the Bureau of European Affairs and in the Bureau of African Affairs. ",No,No,Yes,,Yes (English),No,,No,No,,Yes (Australia),"Yes (worked in the Bureau of East Asian and Pacific Affairs; Director of the Office of Australia, New Zealand, and Pacific Affairs; Director of the Office of Assistance for Asia and Near East in the Bureau of Population, Refugees, and Migration; political officer in Sydney)"
C. Steven McGann,2008,Bush,Kiribati,Yes,C05727851,0,0,,Yes (M.A. in political science),Yes,Yes,"Deputy Director of the Office of Pakistan, Afghanistan, and Bangladesh Affairs; political officer and economic officer at the US Mission to the UN in New York; Labor Officer in Nairobi; Staff Aide in Pretoria; economic and political officer in Kinshasa; consular officer at the American Institute in Taipei; special assistant in the Office of Policy Planning, in the Office of the Under Secretary of State of Political Affairs, in the Bureau of European Affairs and in the Bureau of African Affairs. ",No,No,Yes,,Yes (English),No,,No,No,,Yes (Australia),"Yes (worked in the Bureau of East Asian and Pacific Affairs; Director of the Office of Australia, New Zealand, and Pacific Affairs; Director of the Office of Assistance for Asia and Near East in the Bureau of Population, Refugees, and Migration; political officer in Sydney)"
C. Steven McGann,2008,Bush,Nauru,Yes,C05727851,0,0,,Yes (M.A. in political science),Yes,Yes,"Deputy Director of the Office of Pakistan, Afghanistan, and Bangladesh Affairs; political officer and economic officer at the US Mission to the UN in New York; Labor Officer in Nairobi; Staff Aide in Pretoria; economic and political officer in Kinshasa; consular officer at the American Institute in Taipei; special assistant in the Office of Policy Planning, in the Office of the Under Secretary of State of Political Affairs, in the Bureau of European Affairs and in the Bureau of African Affairs. ",No,No,Yes,,Yes (English),No,,No,No,,Yes (Australia),"Yes (worked in the Bureau of East Asian and Pacific Affairs; Director of the Office of Australia, New Zealand, and Pacific Affairs; Director of the Office of Assistance for Asia and Near East in the Bureau of Population, Refugees, and Migration; political officer in Sydney)"
C. Steven McGann,2008,Bush,Tonga,Yes,C05727851,0,0,,Yes (M.A. in political science),Yes,Yes,"Deputy Director of the Office of Pakistan, Afghanistan, and Bangladesh Affairs; political officer and economic officer at the US Mission to the UN in New York; Labor Officer in Nairobi; Staff Aide in Pretoria; economic and political officer in Kinshasa; consular officer at the American Institute in Taipei; special assistant in the Office of Policy Planning, in the Office of the Under Secretary of State of Political Affairs, in the Bureau of European Affairs and in the Bureau of African Affairs. ",No,No,Yes,,Yes (English),No,,No,No,,Yes (Australia),"Yes (worked in the Bureau of East Asian and Pacific Affairs; Director of the Office of Australia, New Zealand, and Pacific Affairs; Director of the Office of Assistance for Asia and Near East in the Bureau of Population, Refugees, and Migration; political officer in Sydney)"
C. Steven McGann,2008,Bush,Tuvalu,Yes,C05727851,0,0,,Yes (M.A. in political science),Yes,Yes,"Deputy Director of the Office of Pakistan, Afghanistan, and Bangladesh Affairs; political officer and economic officer at the US Mission to the UN in New York; Labor Officer in Nairobi; Staff Aide in Pretoria; economic and political officer in Kinshasa; consular officer at the American Institute in Taipei; special assistant in the Office of Policy Planning, in the Office of the Under Secretary of State of Political Affairs, in the Bureau of European Affairs and in the Bureau of African Affairs. ",No,No,Yes,,Yes (English),No,,No,No,,Yes (Australia),"Yes (worked in the Bureau of East Asian and Pacific Affairs; Director of the Office of Australia, New Zealand, and Pacific Affairs; Director of the Office of Assistance for Asia and Near East in the Bureau of Population, Refugees, and Migration; political officer in Sydney)"
Barbara McConnell Barrett,2008,Bush,Finland,Yes,C05727855,32917,0,,"Yes (J.D., M.A.)",No,No,Senior Advisor to the US Mission to the UN,No,National chair of the U.S. Secretary of Commerce's Export Conference,Yes,,No,No,,No,No,,No,No
Donald Gene Teitelbaum,2008,Bush,Ghana,Yes,C05727886,0,0,,No,Yes,Yes,Political officer in Beirut and Georgetown; consular and rotational officer in Santo Domingo,No,No,No,,Yes (English),No,,No,No,,"Yes (South Africa, Uganda, Sudan, Kenya, Somalia)",Yes (DCM in Pretoria; Director for African Affairs at the NSC; DCM in Kampala; DCM for Sudan (in Nairobi); political officer in Mogadishu and Nairobi)
Stephen George McFarland,2008,Bush,Guatemala,Yes,C05727899,0,0,,No,Yes,Yes,"Director, Stability Operations Training Unit at the Foreign Service Institute; leader of a Provincial Reconstruction Team (PRT) in Iraq",No,No,Yes,,Yes (Spanish),No,,Yes (DCM in Guatemala),Yes (DCM in Guatemala),,"Yes (Venezuela, Paraguay, Peru, El Salvador, Bolivia)","Yes (Director of the Office of Cuban Affairs; DCM in Venezuela and Paraguay; political officer in Lima (twice), La Paz, and San Salvador; labor and promotion officer in Quito; consular officer in Maracaibo)"
John Melvin Jones,2008,Bush,Guyana,Yes,C05727910,0,0,,"Yes (J.D., MBA, M.A. in strategic studies)",Yes,Yes,Special Advisor of the Civilian Reserved Corps in the Office of Reconstruction; civilian leader of the Provincial Reconstruction Team in Diyala; Senior Inspector; Senior Representative in the Office of Counterterrorism; desk officer in the Office of West African Affairs; political officer in the Office of European Security and Political Affairs; Senior Watch Officer in the Ops Center; refugee officer in Bangkok; consular officer in Brussels and Bangkok,No,No,Yes,,Yes (English),No,,No,No,,"Yes (Honduras, Costa Rica, Dominican Republic) ",Yes (Consul General and Chief of the Consular Section in Tegucigalpa; Faculty Advisor at the Inter-American Defense College; Advisor to the Inter-American Defense Board; consular officer in San Jose and Santo Domingo)
Hugo Llorens,2008,Bush,Honduras,Yes,C05727927,0,0,,Yes (M.A. in economics; M.S. in strategic studies),Yes,Yes,DCM in Madrid; Principal Officer in Vancouver; consular officer in Manila,No,No,Yes,,Yes (Spanish),No,,Yes (Counselor for Economic Affairs in Tegucigalpa),Yes (Counselor for Economic Affairs in Tegucigalpa),,"Yes (Argentina, El Salvador, Paraguay, Honduras)","Yes (DCM in Buenos Aires; NSC Director for Andean Affairs; Deputy Director of the Office of Economic Policy and Summit Coordination in the Bureau of Western Hemisphere Affairs; economic officer in San Salvador, Asuncion and La Paz)"
James B. Cunningham,2008,Bush,Israel,Yes,C05727961,0,0,,No,Yes,Yes,Consul General in Hong Kong; Ambassador and Deputy U.S. Permanent Representative to the United Nations; DCM in Rome; Deputy Chief of Staff and Chief of Staff to NATO Secretary General,No,No,Yes,,No,Yes (English),,No,No,,No,"Yes (as Ambassador and Deputy U.S. Permanent Representative to the United Nations experience in Middle East dynamics and worked with top-level Israeli, Arab and Palestinian officials)"
Robert Stephen Beecroft,2008,Bush,Jordan,Yes,C05727973,0,0,,Yes (J.D.),Yes,Yes,Executive Assistant to the Secretary of State; Staff Officer and Operations Officer in the Secretariat,No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,"Yes (Saudi Arabia, Syria)",Yes (international relations officer in the Office of Northern Gulf Affairs in the Bureau of Near Eastern Affairs; consular officer in Riyadh and in Damascus)
